Date,Views,Likes
2017-08-08,51757,988
2017-08-08,9297,221
2017-08-08,52915,611
2017-08-08,15557,301
2017-08-08,79717,889
2017-08-08,29848,559
2017-08-08,19439,332
2017-08-08,29411,453
2017-08-16,6342,135
2017-08-16,8884,139
2017-08-17,7475,134
2017-08-17,5777,102
2017-08-30,105117,1067
2017-08-31,35103,533
2017-09-05,11616,236
2017-09-13,5793,102
2017-09-14,127171,1506
2017-09-23,13822,283
2017-09-23,21717,368
2017-10-03,211987,2252
2017-10-04,94576,1161
2017-10-06,48008,700
2017-10-07,22839,414
2017-11-01,264666,3072
2017-11-06,134785,1168
2017-11-07,50862,524
2017-11-10,23779,359
2018-03-19,72841,1158
2018-03-20,355106,4869
2018-03-21,19193,333
2018-03-22,51273,598
2018-06-29,95163,869
2018-06-30,57384,609
2018-10-22,118519,1375
2018-11-26,170508,1748
2018-11-26,51576,659
2018-12-30,257266,2767
2018-12-31,86507,926
2019-01-01,136763,1363
2019-01-02,928463,3967
2019-01-03,277571,2500
2019-01-04,81371,922
2019-01-09,148079,1643
2019-01-13,38383,690
2019-01-14,106637,1504
2019-03-07,19532,448
2019-03-09,65447,815
2019-03-10,46691,617
2019-03-10,123117,1907
2019-03-11,30644,371
2019-03-12,15559,303
2019-03-13,20751,375
2019-03-14,53303,699
2019-03-15,24120,372
2019-03-16,21441,484
2019-03-17,18690,346
2019-03-18,19349,498
2019-03-19,200288,2598
2019-03-21,5774,168
2019-03-21,85753,1582
2019-03-23,17288,501
2019-03-23,85621,1725
2019-03-24,11117,305
2019-03-25,60677,683
2019-03-26,31408,691
2019-03-26,19921,381
2019-03-26,29921,887
2019-03-27,14350,461
2019-03-28,8906,245
2019-03-29,10738,255
2019-03-29,24136,527
2019-03-29,8028,170
2019-03-31,14830,273
2019-04-01,11213,192
2019-04-02,23927,628
2019-04-03,11225,231
2019-04-04,13250,300
2019-04-05,16070,331
2019-04-06,11227,277
2019-04-07,7664,251
2019-04-08,12136,305
2019-04-09,34902,814
2019-04-10,28939,417
2019-04-12,36010,470
2019-04-13,27405,400
2019-04-14,99050,808
2019-04-15,22100,358
2019-04-15,456210,3093
2019-04-16,20284,326
2019-04-17,23810,396
2019-04-18,46721,939
2019-04-19,17072,320
2019-04-22,14155,226
2019-04-22,23242,450
2019-04-23,14354,329
2019-04-24,221774,2592
2019-04-25,907335,5113
2019-04-27,21819,580
2019-04-29,21466,406
2019-04-30,48972,1246
2019-05-01,75835,1009
2019-05-02,15152,316
2019-05-03,11266,228
2019-05-04,148939,2111
2019-05-05,19732,385
2019-05-06,33701,507
2019-05-08,24024,391
2019-05-09,73277,1014
2019-05-10,15221,257
2019-05-11,26770,460
2019-05-11,50447,667
2019-05-12,25866,375
2019-05-14,17460,253
2019-05-15,123090,2293
2019-05-16,33454,630
2019-05-17,124603,3568
2019-05-19,14036,319
2019-05-20,14725,320
2019-05-22,125074,2681
2019-05-22,18696,420
2019-05-23,30527,685
2019-05-24,15008,276
2019-05-25,61090,1019
2019-05-26,14564,277
2019-05-27,54815,815
2019-05-28,24421,0
2019-05-29,38263,596
2019-05-30,15956,283
2019-06-02,16107,297
2019-06-03,51902,909
2019-06-04,10105,180
2019-06-05,517619,6823
2019-06-06,204444,2462
2019-06-07,49467,696
2019-06-08,160507,2118
2019-06-09,157446,1965
2019-06-10,155528,1858
2019-06-11,17114,336
2019-06-12,49907,664
2019-06-13,27634,380
2019-06-14,90750,1257
2019-06-15,31443,520
2019-06-16,122546,1574
2019-06-17,92378,1277
2019-06-18,29322,481
2019-06-19,143051,2613
2019-06-20,71335,1063
2019-06-21,81657,1751
2019-06-22,71527,1207
2019-06-23,56483,933
2019-06-24,57412,831
2019-06-25,59064,824
2019-06-26,36789,623
2019-06-27,31823,509
2019-06-28,23838,399
2019-06-29,68618,996
2019-06-30,33128,508
2019-07-01,63884,1808
2019-07-02,41129,848
2019-07-03,32446,560
2019-07-04,56659,966
2019-07-05,45340,732
