username,display_name,follower_count,likes_count,video_count,avatar_url,region_code,average_likes,engagement_rate,follower_tier
billieeilish,BILLIE EILISH,72777654,492525220,73,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a67f9744439872cde91754ff64b8a97d~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=323806ce&x-expires=1751619600&x-signature=GwADdMe3SOfB38MbW8cbGCGzuNw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,US,6746920.821917809,9.270593995675936,Celebrity
badbunny,Bad Bunny,35297479,418348051,9,https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7310298084372660270~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=e9ae8dd2&x-expires=1751619600&x-signature=0Mc%2Bf0IwVCPZASO6JLQr6gTqpXM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,PR,46483116.777777776,131.68962230355822,Celebrity
chipmunksoftiktok,Chipmunks of TikTok,14684337,221381008,612,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7312651030169157637~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=4c865f11&x-expires=1751619600&x-signature=R%2BRgGoqur5iB8JAw0D5HvKMuU10%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,US,361733.67320261436,2.4633980628653123,Celebrity
charlidamelio,charli d’amelio,156649078,11903605188,2834,https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7310052907548688430~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=8ac465fc&x-expires=1751619600&x-signature=PRuUftfSOEvuSxdIld0nNYFJxQE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,US,4200284.117148906,2.6813334433726483,Celebrity
yessicadcs,Yessica y Moises 🦜,358401,5642010,116,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/e3758372c05521919d6dd235b891dbde~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=13194b0c&x-expires=1751619600&x-signature=cwrFEIQ2YdciR37saZ7aGLOOu30%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,MX,48638.01724137931,13.57083748130706,Mid-tier influencer
therock,The Rock,80271898,644874022,433,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7310325298631802885~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=03573673&x-expires=1751619600&x-signature=hUeLfX%2F%2F%2BZ%2B0%2Fch53y8W2KuwF8A%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,US,1489316.4480369515,1.8553397703850871,Celebrity
the_pruld,ThePruld,561803,14787834,31,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/aa9cad6bbb5ec6a1d2cc3e69be010548~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=ccf13961&x-expires=1751619600&x-signature=5iBvZEjnKFLV%2BonbEsJzq%2BzQhfw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,IT,477026.9032258064,84.90999571483357,Macro-influencer
mastertingus,mastertingus,2031165,64735571,294,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3ed3f7e3826011236e4007cd82601d20~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=db8fb41d&x-expires=1751619600&x-signature=DStBlRxKEFDna5hnlqYdD%2BfHv1g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,AU,220189.01700680272,10.840528317827587,Mega-influencer
txt.bighitent,TOMORROW X TOGETHER,27022372,1694075330,1193,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/9c50332d2f47f6e34074a8cfa378bce3~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=34fe6474&x-expires=1751619600&x-signature=81%2BFxDZTDS5Xw%2BMqwgkraUklwgI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,KR,1420012.849958089,5.2549526368672925,Celebrity
besttoks,besttoks,3575953,119269440,1404,https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/893f31ce3fc8dd740cd00bab9d171b33~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=219882c9&x-expires=1751619600&x-signature=uZw0TIikf%2BdUP4fLaAZM9jrOCDk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,GB,84949.7435897436,2.3755833365187855,Mega-influencer
bdylanhollis,B. Dylan Hollis,10208142,272236149,390,https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/e09b83152efe71d6ddb7d46623a9e6f2~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=7e474f9c&x-expires=1751619600&x-signature=PfXW0FK0xk9zFxFAjAz7vEK5XxE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,US,698041.4076923077,6.838084812028552,Celebrity
fisherbenny,Benjamin Bakke,4506421,120020537,423,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/f8aa6143d62e4ac9f457ec3965ebbc6f~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=0589202a&x-expires=1751619600&x-signature=bu10mwUcvZXJq4JrBIG1GDp7gd8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,NO,283736.4940898345,6.296271344595512,Mega-influencer
sylvaniandrama,Sylvaniandrama,2481472,68066751,136,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/1f7c73b311262b3466c29655eea236d9~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=e21197c0&x-expires=1751619600&x-signature=vafkGojO9p15YiCZbMxS2oBcmpc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,IE,500490.8161764706,20.16910995475551,Mega-influencer
userbigbabywithdaoil,Byron Tremain Chandl,646929,8711515,389,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7331057544855650309~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=8bbf5b07&x-expires=1751619600&x-signature=8Sh1FdtJR1qjsFmAyh7E2Gb7ABU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,US,22394.640102827765,3.4616843738382053,Macro-influencer
bellapoarch,Bella Poarch,93659900,2394908558,784,https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d8b707e8ab71dc4c0adcf27e4c841ade~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=9f729105&x-expires=1751619600&x-signature=yFBITxRwgER80uB8gV1kF6Vgg6s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,US,3054730.3035714286,3.261513522405457,Celebrity
jacobwitzling,Jacob Witzling,1803312,42004226,113,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/e318ea4e3f6641c85ce5e536ba071b47~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=d5e201b3&x-expires=1751619600&x-signature=MXtqcgyH2RnOCFtOgzb6wHTsNZQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,US,371718.81415929203,20.61311709561585,Mega-influencer
karna.val,🎀КАРНАВАЛ🎀,28613691,1681424287,2937,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/629acceadae421f9e8031643509bc3de~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=2593467c&x-expires=1751619600&x-signature=r5HxDLjsDNQrmk%2BPrAIOrlBxRaI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,RU,572497.203609125,2.0007806878501797,Celebrity
kimberly.loaiza,Kimberly Loaiza,83564719,4138290121,2099,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/726b18c408f4fe6f235256e55b02542a~tplv-tiktokx-cropcenter:168:168.jpeg?dr=9638&refresh_token=f55257da&x-expires=1751619600&x-signature=exf%2BjONoshlnmBBuAlY3h2W7ZK4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=8aecc5ac&idc=useast5,MX,1971553.1781800857,2.3593128796138068,Celebrity
