channelName,subscriberCount,averageViews,averageLikes,country,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,subs_tier,engagement_rate
T-Series,297000000,12705690.863492996,7466.52,IN,Film,Pop music,Music,Music of Asia,,,,,,Celebrity,0.002513979797979798
SET India,184000000,1144661.7059787584,333.06,IN,Entertainment,Television program,Film,,,,,,,Celebrity,0.0001810108695652174
MrBeast,409000000,99727799.55,5724505.0,US,Lifestyle (sociology),Entertainment,,,,,,,,Celebrity,1.3996344743276283
PewDiePie,110000000,6134865.6398920715,185625.66,JP,Role-playing video game,Video game culture,Lifestyle (sociology),Action-adventure game,,,,,,Celebrity,0.1687506
Zee Music Company,118000000,5489464.8364723055,2859.14,IN,Entertainment,Music,Music of Asia,Pop music,Film,,,,,Celebrity,0.002423
BLACKPINK,96900000,63658518.996715926,457571.68,KR,Music,Music of Asia,Pop music,,,,,,,Celebrity,0.4722101960784314
Goldmines,105000000,2804237.830202578,149.0,IN,Entertainment,Film,,,,,,,,Celebrity,0.0001419047619047619
Canal KondZilla,67800000,11739574.593815044,381.46,BR,Pop music,Music of Latin America,Music,Hip hop music,,,,,,Celebrity,0.0005626253687315634
Zee TV,91600000,494051.3408315555,1.64,IN,Entertainment,Film,Television program,,,,,,,Celebrity,1.7903930131004367e-06
Shemaroo Filmi Gaane,72500000,3473793.7712134067,209.84,IN,Entertainment,Film,Music of Asia,Music,,,,,,Celebrity,0.0002894344827586207
Dude Perfect,61300000,38735833.20321932,514605.52,US,Entertainment,Lifestyle (sociology),Sport,Film,,,,,,Celebrity,0.8394869820554649
Movieclips,64300000,1545158.1791173858,141.7,US,Entertainment,Film,,,,,,,,Celebrity,0.00022037325038880246
Colors TV,80500000,309682.39803684666,20.66,IN,No topic categories assigned,,,,,,,,,Celebrity,2.5664596273291925e-05
Marshmello,58000000,31363733.39219331,9924.9,US,Pop music,Electronic music,Music,,,,,,,Celebrity,0.017111896551724137
Tips Official,76500000,5973941.720402085,2200.76,IN,Entertainment,Music,Music of Asia,Pop music,Film,,,,,Celebrity,0.0028768104575163404
Aaj Tak,72800000,84502.47593368693,66.52,IN,No topic categories assigned,,,,,,,,,Celebrity,9.137362637362637e-05
Ed Sheeran,57400000,55360215.06170886,149271.24,,Independent music,Pop music,Music,,,,,,,Celebrity,0.260054425087108
LooLoo Kids - Nursery Rhymes and Children's Songs,60300000,37494232.56491576,4595.52,US,Entertainment,Music,Film,,,,,,,Celebrity,0.007621094527363185
Taylor Swift,61100000,138673767.7902098,310334.0,,Music,Pop music,Independent music,,,,,,,Celebrity,0.507911620294599
YRF,66100000,10728484.750604264,39545.4,IN,Entertainment,Pop music,Film,Music of Asia,Music,,,,,Celebrity,0.059826626323751894
Infobells - Hindi,70200000,54226622.19748428,6415.52,IN,Music,Film,Music of Asia,Entertainment,,,,,,Celebrity,0.009138917378917378
JuegaGerman,53500000,7353430.8591731265,205340.64,CL,Role-playing video game,Action-adventure game,Video game culture,Action game,Lifestyle (sociology),,,,,Celebrity,0.38381428037383175
Felipe Neto,47300000,3249250.040076336,24187.86,BR,Action game,Role-playing video game,Video game culture,Action-adventure game,Lifestyle (sociology),,,,,Celebrity,0.051137124735729386
SonyMusicIndiaVEVO,56800000,9924457.403415157,19086.52,,Music of Asia,Music,Pop music,Film,Soul music,,,,,Celebrity,0.03360302816901409
Get Movies,55700000,9768707.3837779,791.54,AE,Television program,Entertainment,Film,,,,,,,Celebrity,0.0014210771992818672
Little Baby Bum - Nursery Rhymes & Kids Songs,41600000,13977662.17707301,1380.58,US,Entertainment,Film,Music,,,,,,,Celebrity,0.003318701923076923
Shakira,48500000,86851104.51813471,92495.64,,Music of Latin America,Lifestyle (sociology),Music,Pop music,,,,,,Celebrity,0.19071265979381444
Kimberly Loaiza,47000000,22781701.420382164,612468.2,MX,Lifestyle (sociology),Entertainment,,,,,,,,Celebrity,1.3031238297872338
Luccas Neto,79,25.0,3.0,,No topic categories assigned,,,,,,,,,Emerging,3.7974683544303796
TheEllenShow,38200000,1307180.1658531174,112.6,US,Entertainment,Television program,Film,,,,,,,Celebrity,0.00029476439790575916
GR6 EXPLODE,42400000,8873354.014570324,21607.68,BR,Pop music,Music of Latin America,Hip hop music,Music,,,,,,Celebrity,0.050961509433962264
XXXTENTACION,42100000,86153296.6569343,208292.78,US,Music,Hip hop music,Pop music,Electronic music,,,,,,Celebrity,0.4947571971496437
Toys and Colors,76700000,63298270.998714656,48911.52,US,Hobby,Lifestyle (sociology),Entertainment,,,,,,,Celebrity,0.06376990873533246
WorkpointOfficial,43000000,402876.0260690446,197.06,TH,Film,Television program,Entertainment,,,,,,,Celebrity,0.00045827906976744185
Masha and The Bear,51800000,16228782.972463029,4289.96,US,Entertainment,Film,Television program,,,,,,,Celebrity,0.008281776061776061
Super Simple Songs - Kids Songs,44600000,67171942.14403778,5315.18,CA,Film,Music,Entertainment,,,,,,,Celebrity,0.011917443946188341
Mikecrack,56600000,9538468.393274171,109854.46,ES,Action-adventure game,Video game culture,Role-playing video game,Action game,,,,,,Celebrity,0.1940891519434629
Ozuna,37600000,102217713.77480917,19356.26,PR,Electronic music,Pop music,Music of Latin America,Music,Hip hop music,,,,,Celebrity,0.051479414893617015
Total Gaming,44800000,8943928.417279411,215056.64,IN,Simulation video game,Action game,Video game culture,Action-adventure game,Strategy video game,Role-playing video game,,,,Celebrity,0.4800371428571429
YouTube,43500000,2496045.8564593303,2099.6,US,Entertainment,Lifestyle (sociology),Hobby,,,,,,,Celebrity,0.004826666666666667
VEGETTA777,34300000,1909654.4775094695,18884.44,,Role-playing video game,Action-adventure game,Video game culture,Action game,,,,,,Celebrity,0.055056676384839645
T-Series Apna Punjab,39700000,2923345.9378272253,14498.4,IN,Film,Pop music,Music,Music of Asia,Entertainment,,,,,Celebrity,0.03651989924433249
La Granja de Zenón,43900000,35430346.18190662,6840.74,AR,Music,Entertainment,Film,,,,,,,Celebrity,0.01558255125284738
NoCopyrightSounds,34100000,5998151.278115502,5457.78,GB,Pop music,Electronic music,Music,,,,,,,Celebrity,0.016005219941348972
IndiaTV,48000000,73953.80329674111,118.18,IN,Society,,,,,,,,,Celebrity,0.00024620833333333336
SSSniperWolf,35000000,6829615.832460733,15519.14,US,Film,Lifestyle (sociology),Entertainment,,,,,,,Celebrity,0.0443404
Ch3Thailand,36200000,283005.19847795763,332.5,TH,Television program,Entertainment,Film,,,,,,,Celebrity,0.0009185082872928176
Selena Gomez,35400000,73034512.99521531,92037.24,,Music,Pop music,Lifestyle (sociology),,,,,,,Celebrity,0.25999220338983053
T-Series Bollywood Classics,48300000,14684701.929755673,821.3,IN,Pop music,Film,Music,Music of Asia,Entertainment,,,,,Celebrity,0.0017004140786749482
Rajshri,39600000,3606882.8406994618,63.22,IN,Entertainment,Film,,,,,,,,Celebrity,0.00015964646464646464
Mr Bean,34800000,2957394.309571286,516.72,,Humour,Film,Television program,Entertainment,,,,,,Celebrity,0.0014848275862068966
SMTOWN,33200000,6936833.70113686,92972.38,,Electronic music,Music,Music of Asia,Pop music,,,,,,Celebrity,0.2800372891566265
BabyBus - Kids Songs and Cartoons,41200000,11580553.132686084,3346.0,US,Film,Entertainment,Music,,,,,,,Celebrity,0.008121359223300971
DisneyMusicVEVO,37500000,12579771.59240069,1985.3,US,Pop music,Film,Music,Entertainment,,,,,,Celebrity,0.0052941333333333335
rezendeevil,33900000,1099673.1667329252,10961.04,BR,Technology,Lifestyle (sociology),Entertainment,,,,,,,Celebrity,0.03233345132743363
AH,31400000,1188531.882914137,10483.86,ID,Lifestyle (sociology),,,,,,,,,Celebrity,0.03338808917197452
ImagineDragons,32700000,97564278.06046513,21432.34,US,Music,Pop music,Rock music,Independent music,,,,,,Celebrity,0.0655423241590214
Ultra Records,32000000,3534436.452023988,948.24,,Pop music,Electronic music,Music,,,,,,,Celebrity,0.00296325
jacksepticeye,31000000,3281334.940582746,108482.2,IE,Role-playing video game,Action game,Video game culture,Action-adventure game,,,,,,Celebrity,0.3499425806451613
GMA Network,39100000,172359.47957617018,15.38,PH,No topic categories assigned,,,,,,,,,Celebrity,3.933503836317136e-05
Zee News,41200000,124321.191811003,108.1,IN,Politics,Society,,,,,,,,Celebrity,0.000262378640776699
The Late Late Show with James Corden,28300000,1783169.091568763,58209.56,,Entertainment,Television program,Film,,,,,,,Celebrity,0.20568749116607773
TheDonato,42600000,2153055.514900233,23995.76,AR,Action-adventure game,Video game culture,Action game,,,,,,,Celebrity,0.05632807511737089
AboFlah,46300000,9579472.786802031,323227.08,KW,Film,Entertainment,,,,,,,,Celebrity,0.6981146436285097
Aditya Music,35300000,1247336.6757956268,916.68,IN,Music of Asia,Film,Music,Pop music,Entertainment,,,,,Celebrity,0.002596827195467422
Michael Jackson,33200000,1008775531.1111112,119031.72,,Lifestyle (sociology),Music,Pop music,Soul music,Entertainment,,,,,Celebrity,0.35852927710843374
enchufetv,28000000,4759451.819714656,48974.7,,Film,Entertainment,,,,,,,,Celebrity,0.17490964285714286
toycantando,30400000,20368913.043386243,2280.5,CO,Film,Entertainment,Music,,,,,,,Celebrity,0.007501644736842106
JYP Entertainment,30600000,10317149.472326258,37249.6,,Electronic music,Music,Music of Asia,Pop music,,,,,,Celebrity,0.12173071895424836
VanossGaming,26000000,7956645.377703028,36445.68,US,Action game,Video game culture,Action-adventure game,Strategy video game,Role-playing video game,,,,,Celebrity,0.1401756923076923
LosPolinesios,26900000,6787758.248192771,45887.8,,Lifestyle (sociology),,,,,,,,,Celebrity,0.17058661710037173
Aditya Movies,36800000,1439718.460994264,187.08,IN,Film,Entertainment,,,,,,,,Celebrity,0.0005083695652173913
Marília Mendonça,27100000,87167268.05371901,2979.26,BR,Pop music,Music,Music of Latin America,,,,,,,Celebrity,0.010993579335793358
Beyoncé,28100000,78250922.74339622,65944.58,,Pop music,Music,Soul music,Rhythm and blues,,,,,,Celebrity,0.2346782206405694
Masha y el Oso,42600000,12394022.760366185,5916.92,MX,Entertainment,Film,Television program,,,,,,,Celebrity,0.013889483568075118
RihannaVEVO,24800000,181592645.02542377,1076208.28,US,Electronic music,Rhythm and blues,Pop music,Music,Soul music,,,,,Celebrity,4.339549516129032
Las Ratitas,25700000,45294048.71555555,58723.04,ES,Hobby,Lifestyle (sociology),Entertainment,,,,,,,Celebrity,0.22849431906614787
Smosh,26900000,5308780.235153257,36384.08,US,Film,Entertainment,Television program,,,,,,,Celebrity,0.13525680297397769
WatchMojo.com,25800000,580461.521357616,1090.86,CA,Entertainment,Film,,,,,,,,Celebrity,0.00422813953488372
Post Malone,28200000,113730582.73170732,19375.08,US,Country music,Rock music,Pop music,Music,Christian music,,,,,Celebrity,0.06870595744680852
Shemaroo Movies,37000000,2768971.180204411,4526.32,IN,Entertainment,Film,,,,,,,,Celebrity,0.012233297297297297
Chris Brown,28500000,286370618.9710145,83456.54,,Music,Pop music,Hip hop music,Electronic music,Rhythm and blues,,,,,Celebrity,0.2928299649122807
James Charles,24100000,7126050.32,43931.0,US,Lifestyle (sociology),,,,,,,,,Celebrity,0.18228630705394192
NickyJamTV,24500000,30431538.08035714,9162.52,US,Hip hop music,Pop music,Music of Latin America,Music,Electronic music,Lifestyle (sociology),,,,Celebrity,0.03739804081632653
Sesame Street,27300000,6979172.735549872,22335.62,US,Television program,Entertainment,Film,,,,,,,Celebrity,0.08181545787545788
Like Nastya AE,27600000,16385460.249130938,1441.68,US,Entertainment,Lifestyle (sociology),,,,,,,,Celebrity,0.005223478260869565
DrossRotzank,23800000,3659643.2528363047,80266.58,AR,Society,Entertainment,,,,,,,,Celebrity,0.33725453781512604
Goldmines Movies,29100000,1095625.7963426071,100.34,,Entertainment,Film,,,,,,,,Celebrity,0.0003448109965635739
TED,26300000,564263.77629026,995.34,US,Society,Knowledge,,,,,,,,Celebrity,0.0037845627376425855
mmoshaya,23400000,14774673.25,14738.98,SA,Lifestyle (sociology),,,,,,,,,Celebrity,0.06298709401709401
Wave Music Bhojpuri,26200000,615930.4816498864,77.34,IN,Music of Asia,Music,,,,,,,,Celebrity,0.0002951908396946565
Sia,24300000,52127308.7615894,6168.8,,Electronic music,Pop music,Music,,,,,,,Celebrity,0.025386008230452676
StarPlus,55900000,529263.3993508671,210.92,IN,Film,Entertainment,Television program,,,,,,,Celebrity,0.00037731663685152057
PrestonPlayz,16800000,6532881.487697715,30794.76,US,Action game,Role-playing video game,Video game culture,Action-adventure game,,,,,,Celebrity,0.18330214285714286
SSundee,25000000,4671814.215591091,29115.34,US,Action game,Action-adventure game,Video game culture,Role-playing video game,Strategy video game,,,,,Celebrity,0.11646136
LankyBox,41700000,3845972.68801184,7432.96,US,Role-playing video game,Video game culture,Action-adventure game,,,,,,,Celebrity,0.01782484412470024
FGTeeV,24600000,13703597.993593166,33053.34,US,Role-playing video game,Action-adventure game,Video game culture,Action game,,,,,,Celebrity,0.1343631707317073
Ultra Movie Parlour,30100000,2922453.3210597215,1958.3,IN,Entertainment,Film,,,,,,,,Celebrity,0.0065059800664451824
Canal Canalha,21200000,5376634.371727749,90197.54,BR,Film,Entertainment,Lifestyle (sociology),,,,,,,Celebrity,0.4254600943396226
Beast Reacts,35900000,28427498.876068376,906108.46,US,Hobby,Lifestyle (sociology),Humour,Entertainment,,,,,,Celebrity,2.523978997214485
Zhong,59400000,10170523.888777051,230875.38,US,Film,Entertainment,Lifestyle (sociology),,,,,,,Celebrity,0.3886790909090909
BuzzFeedVideo,19800000,2234658.1694537345,308.32,US,Entertainment,Lifestyle (sociology),Food,,,,,,,Celebrity,0.0015571717171717172
LazarBeam,23000000,7412208.094736842,721357.3,AU,Strategy video game,Action-adventure game,Video game culture,Action game,Role-playing video game,,,,,Celebrity,3.1363360869565216
GMA Public Affairs,26500000,217369.40837983944,38.82,PH,Entertainment,Society,Television program,,,,,,,Celebrity,0.00014649056603773585
Dr. Vivek Bindra: Motivational Speaker,21200000,860564.5662196145,1488.06,IN,Society,Knowledge,,,,,,,,Celebrity,0.007019150943396227
Netflix India,26900000,2182986.407368787,13195.12,IN,Film,Entertainment,Television program,,,,,,,Celebrity,0.0490524907063197
AuthenticGames,20100000,1855362.6860033032,10906.16,BR,Action game,Action-adventure game,Video game culture,Role-playing video game,Strategy video game,,,,,Celebrity,0.054259502487562186
Vevo,20000000,263806.13785460993,130.52,,Pop music,Music,Independent music,,,,,,,Celebrity,0.0006526000000000001
